date,value
2006-01-31,32.57
2006-02-28,31.71
2006-03-31,33.68
2006-04-30,33.66
2006-05-31,31.00
2006-06-30,30.39
2006-07-31,28.83
2006-08-31,30.41
2006-09-30,31.86
2006-10-31,31.53
2006-11-30,32.73
2006-12-31,33.17
2007-01-31,32.20
2007-02-28,31.27
2007-03-31,31.57
2007-04-30,30.54
2007-05-31,31.25
2007-06-30,31.04
2007-07-31,29.46
2007-08-31,30.27
2007-09-30,31.81
2007-10-31,32.73
2007-11-30,30.39
2007-12-31,28.71
2008-01-31,25.26
2008-02-29,23.90
2008-03-31,24.02
2008-04-30,25.71
2008-05-31,27.21
2008-06-30,23.94
2008-07-31,24.21
2008-08-31,24.77
2008-09-30,20.53
2008-10-31,17.23
2008-11-30,15.18
2008-12-31,16.88
2009-01-31,17.55
2009-02-28,16.74
2009-03-31,19.58
2009-04-30,22.62
2009-05-31,23.42
2009-06-30,25.00
2009-07-31,27.35
2009-08-31,27.78
2009-09-30,29.62
2009-10-31,28.67
2009-11-30,30.17
2009-12-31,24.51
2010-01-31,22.12
2010-02-28,22.85
2010-03-31,22.22
2010-04-30,22.22
2010-05-31,20.33
2010-06-30,17.69
2010-07-31,18.67
2010-08-31,17.47
2010-09-30,18.24
2010-10-31,19.22
2010-11-30,18.99
2010-12-31,18.83
2011-01-31,19.22
2011-02-28,19.68
2011-03-31,18.59
2011-04-30,18.91
2011-05-31,17.47
2011-06-30,16.27
2011-07-31,16.54
2011-08-31,15.64
2011-09-30,14.58
2011-10-31,15.99
2011-11-30,15.58
2011-12-31,15.50
2012-01-31,15.91
2012-02-29,16.84
2012-03-31,17.73
2012-04-30,16.76
2012-05-31,15.54
2012-06-30,16.11
2012-07-31,16.21
2012-08-31,17.00
2012-09-30,17.21
2012-10-31,16.44
2012-11-30,16.62
2012-12-31,16.74
2013-01-31,17.19
2013-02-28,17.33
2013-03-31,17.88
2013-04-30,18.20
2013-05-31,18.79
2013-06-30,18.22
2013-07-31,19.88
2013-08-31,19.82
2013-09-30,19.74
2013-10-31,20.66
2013-11-30,21.30
2013-12-31,21.57
2014-01-31,21.18
2014-02-28,22.02
2014-03-31,21.63
2014-04-30,20.31
2014-05-31,21.12
2014-06-30,21.24
2014-07-31,21.47
2014-08-31,22.44
2014-09-30,22.10
2014-10-31,22.68
2014-11-30,23.62
2014-12-31,21.99
2015-01-31,21.53
2015-02-28,22.99
2015-03-31,21.81
2015-04-30,22.28
2015-05-31,22.73
2015-06-30,21.87
2015-07-31,23.13
2015-08-31,21.55
2015-09-30,20.90
2015-10-31,23.29
2015-11-30,23.52
2015-12-31,23.11
2016-01-31,21.55
2016-02-29,21.16
2016-03-31,22.85
2016-04-30,22.12
2016-05-31,23.13
2016-06-30,22.18
2016-07-31,23.74
2016-08-31,23.76
2016-09-30,24.35
2016-10-31,23.70
2016-11-30,23.64
2016-12-31,23.92
2017-01-31,23.80
2017-02-28,24.61
2017-03-31,24.35
2017-04-30,24.82
2017-05-31,25.55
2017-06-30,24.73
2017-07-31,25.08
2017-08-31,25.32
2017-09-30,25.32
2017-10-31,25.48
2017-11-30,25.65
2017-12-31,26.03
2018-01-31,27.33
2018-02-28,26.88
2018-03-31,25.85
2018-04-30,24.53
2018-05-31,25.61
2018-06-30,25.65
2018-07-31,25.28
2018-08-31,26.56
2018-09-30,26.50
2018-10-31,22.93
2018-11-30,22.75
2018-12-31,19.95
2019-01-31,21.77
2019-02-28,22.40
2019-03-31,23.37
2019-04-30,24.43
2019-05-31,22.70
2019-06-30,24.59
2019-07-31,24.35
2019-08-31,23.96
2019-09-30,23.88
2019-10-31,24.96
2019-11-30,26.26
2019-12-31,26.78
2020-01-31,27.49
2020-02-29,25.97
2020-03-31,23.96
2020-04-30,26.84
2020-05-31,28.51
2020-06-30,30.46
2020-07-31,32.69
2020-08-31,36.30
2020-09-30,35.75
2020-10-31,34.61
2020-11-30,38.43
2020-12-31,39.34
2021-01-31,39.46
2021-02-28,39.40
2021-03-31,37.19
2021-04-30,39.38
2021-05-31,38.90
2021-06-30,37.60
2021-07-31,38.65
2021-08-31,40.26
2021-09-30,33.66
2021-10-31,36.32
2021-11-30,36.97
2021-12-31,35.22
2022-01-31,32.22
2022-02-28,30.72
2022-03-31,30.21
2022-04-30,26.17
2022-05-31,25.59
2022-06-30,23.29
2022-07-31,26.22
2022-08-31,24.86
2022-09-30,21.95
2022-10-31,22.83
2022-11-30,24.06
2022-12-31,22.24
2023-01-31,24.59
2023-02-28,26.40
2023-03-31,29.10
2023-04-30,29.24
2023-05-31,31.77
2023-06-30,33.90
2023-07-31,35.18
2023-08-31,32.91
2023-09-30,31.23
2023-10-31,30.58
2023-11-30,30.82
2023-12-31,32.83
2024-01-31,33.44
2024-02-29,35.20
2024-03-31,33.76
2024-04-30,32.26
2024-05-31,32.08
2024-06-30,34.29
2024-07-31,33.72
2024-08-31,34.09
2024-09-30,34.11
2024-10-31,33.82
2024-11-30,35.59
2024-12-31,35.59
2025-01-31,36.70
2025-02-28,35.65
2025-03-31,30.78
2025-04-30,31.25
2025-05-31,33.17
2025-06-30,35.41
2025-07-31,36.22
2025-08-31,36.52
2025-09-30,36.54
2025-10-31,38.27
2025-11-30,37.64
2025-12-31,35.35
2026-01-31,35.77
2026-02-28,34.94
2026-03-31,32.30
2026-04-30,37.35
2026-05-31,38.12
2026-06-30,38.17
